时间点,房间ID,耗时,倍数,茶水费,基础银,基础分,房间下限,对局类型,玩家1,状态,类型,角色,输赢,初始银两,剩余银两,积分输赢,初始积分,剩余积分,玩家2,状态,类型,角色,输赢,初始银两,剩余银两,积分输赢,初始积分,剩余积分,玩家3,状态,类型,角色,输赢,初始银两,剩余银两,积分输赢,初始积分,剩余积分,是否是不洗牌做牌,正式打牌时间,玩家1机器人版本,玩家2机器人版本,玩家3机器人版本,游戏开始时间
2025-05-26 14:35:00,188,55,48,24000,1500,1,70000,0,1109875,65,机器人,地主,162640,199300,353940,0,0,0,1110133,65,机器人,农民,-95650,104962,1312,0,0,0,1109720,65,机器人,农民,-66990,74990,0,0,1,1,是,43,192.168.102.45:2409,192.168.102.45:2412,192.168.102.45:2409,1748241244
2025-05-26 14:35:14,188,80,768,24000,1500,1,70000,0,1109994,65,机器人,地主,-102008,110008,0,0,0,0,1109716,65,机器人,农民,51004,71100,114104,0,0,0,1109715,65,机器人,农民,51004,133480,176484,0,0,0,是,61,192.168.102.45:2412,192.168.102.45:2409,192.168.102.45:2412,1748241233
2025-05-26 14:35:16,188,66,48,24000,1500,1,70000,0,1109922,65,机器人,地主,125260,133260,250520,0,1,1,1109878,65,机器人,农民,-62630,158540,87910,0,1,1,1109693,65,机器人,农民,-62630,175409,104779,0,0,0,是,46,192.168.102.45:2409,192.168.102.45:2409,192.168.102.45:2412,1748241247
2025-05-26 14:35:23,188,75,96,24000,1500,1,70000,0,1109819,65,机器人,地主,-140025,156170,8145,0,0,0,1109688,65,机器人,农民,65940,73940,131880,0,0,0,1109743,65,机器人,农民,74085,505325,571410,0,0,0,是,64,192.168.102.45:2412,192.168.102.45:2409,192.168.102.45:2412,1748241247
2025-05-26 14:35:35,188,82,12,24000,1500,1,70000,0,1109798,65,机器人,地主,-36000,131260,87260,0,0,0,1110036,65,机器人,农民,18000,74750,84750,0,0,0,1109866,65,机器人,农民,18000,126320,136320,0,0,0,是,72,192.168.102.45:2409,192.168.102.45:2412,192.168.102.45:2412,1748241248
2025-05-26 14:36:25,188,59,96,24000,1500,1,70000,0,1109716,65,机器人,地主,106104,114104,212208,0,0,0,1109875,65,机器人,农民,-53052,353940,292888,0,0,0,1110124,65,机器人,农民,-53052,157640,96588,0,1,1,是,44,192.168.102.45:2412,192.168.102.45:2409,192.168.102.45:2412,1748241326
2025-05-26 14:36:30,188,79,768,24000,1500,1,70000,0,1109949,65,机器人,地主,158290,199260,349550,0,0,0,1109997,65,机器人,农民,-95630,198480,94850,0,0,0,1110055,65,机器人,农民,-62660,70660,0,0,1,1,是,52,192.168.102.45:2409,192.168.102.45:2412,192.168.102.45:2409,1748241310
2025-05-26 14:36:34,188,54,24,24000,1500,1,70000,0,1109878,65,机器人,地主,79910,87910,159820,0,1,1,1110121,65,机器人,农民,-39955,70950,22995,0,0,0,1109925,65,机器人,农民,-39955,199210,151255,0,0,0,是,41,192.168.102.45:2412,192.168.102.45:2412,192.168.102.45:2409,1748241340
2025-05-26 14:36:44,188,72,192,24000,1500,1,70000,0,1109743,65,机器人,地主,265263,571410,828673,0,0,0,1109715,65,机器人,农民,-168484,176484,0,0,0,0,1109693,65,机器人,农民,-96779,104779,0,0,0,0,是,45,192.168.102.45:2412,192.168.102.45:2412,192.168.102.45:2409,1748241331
2025-05-26 14:36:49,188,59,24,24000,1500,1,70000,0,1110036,65,机器人,地主,76750,84750,153500,0,0,0,1109798,65,机器人,农民,-38375,87260,40885,0,0,0,1109797,65,机器人,农民,-38375,199240,152865,0,0,0,是,48,192.168.102.45:2409,192.168.102.45:2412,192.168.102.45:2412,1748241349
2025-05-26 14:37:10,188,174,24,24000,1500,1,70000,0,1109813,65,机器人,地主,-72000,275659,195659,0,0,0,1110158,65,机器人,农民,36000,71340,99340,0,0,0,1109957,65,机器人,农民,36000,242507,270507,0,1,1,是,144,192.168.102.45:2409,192.168.102.45:2412,192.168.102.45:2412,1748241252
2025-05-26 14:37:30,188,48,48,24000,1500,1,70000,0,1110120,65,机器人,地主,63240,71240,126480,0,0,0,1110124,65,机器人,农民,-31620,96588,56968,0,1,1,1109875,65,机器人,农民,-31620,292888,253268,0,0,0,是,28,192.168.102.45:2412,192.168.102.45:2412,192.168.102.45:2409,1748241401
2025-05-26 14:38:02,188,38,48,24000,1500,1,70000,0,1109813,65,机器人,地主,177410,195659,365069,0,0,0,1110123,65,机器人,农民,-86070,94070,0,0,0,0,1110158,65,机器人,农民,-91340,99340,0,0,0,0,是,24,192.168.102.45:2412,192.168.102.45:2412,192.168.102.45:2409,1748241444
2025-05-26 14:38:09,188,63,24,24000,1500,1,70000,0,1110036,65,机器人,地主,-72000,153500,73500,0,0,0,1109729,65,机器人,农民,36000,70930,98930,0,1,1,1110115,65,机器人,农民,36000,71970,99970,0,1,1,是,47,192.168.102.45:2409,192.168.102.45:2409,192.168.102.45:2412,1748241425
2025-05-26 14:38:16,188,90,96,24000,1500,1,70000,0,1109997,65,机器人,地主,86850,94850,173700,0,0,0,1109956,65,机器人,农民,-43425,344245,292820,0,1,1,1109688,65,机器人,农民,-43425,131880,80455,0,0,0,是,53,192.168.102.45:2409,192.168.102.45:2412,192.168.102.45:2412,1748241405
2025-05-26 14:38:27,188,87,24,24000,1500,1,70000,0,1110141,65,机器人,地主,205150,213150,410300,0,0,0,1109878,65,机器人,农民,-102575,159820,49245,0,1,1,1109949,65,机器人,农民,-102575,349550,238975,0,0,0,是,75,192.168.102.45:2409,192.168.102.45:2409,192.168.102.45:2412,1748241416
2025-05-26 14:38:52,188,116,24,24000,1500,1,70000,0,1109994,65,机器人,地主,-64490,72490,0,0,0,0,1109861,65,机器人,农民,32245,71560,95805,0,1,1,1110133,65,机器人,农民,32245,73370,97615,0,0,0,是,101,192.168.102.45:2409,192.168.102.45:2409,192.168.102.45:2412,1748241416
2025-05-26 14:38:57,188,73,48,24000,1500,1,70000,0,1110120,65,机器人,地主,-118480,126480,0,0,0,0,1109957,65,机器人,农民,59240,270507,321747,0,1,1,1109875,65,机器人,农民,59240,253268,304508,0,0,0,是,63,192.168.102.45:2412,192.168.102.45:2409,192.168.102.45:2412,1748241463
2025-05-26 14:39:27,188,63,24,24000,1500,1,70000,0,1110115,65,机器人,地主,72000,99970,163970,0,1,1,1110036,65,机器人,农民,-36000,73500,29500,0,0,0,1110170,65,机器人,农民,-36000,73760,29760,0,0,0,是,50,192.168.102.45:2409,192.168.102.45:2412,192.168.102.45:2412,1748241503
2025-05-26 14:39:45,188,75,24,24000,1500,1,70000,0,1109688,65,机器人,地主,72454,80455,144909,0,0,0,1109693,65,机器人,农民,-36227,74980,30753,0,0,0,1109997,65,机器人,农民,-36227,173700,129473,0,0,0,是,61,192.168.102.45:2412,192.168.102.45:2412,192.168.102.45:2409,1748241510
2025-05-26 14:39:53,188,101,192,24000,1500,1,70000,0,1109892,65,机器人,地主,-132560,181134,40574,0,1,1,1109785,65,机器人,农民,66910,74910,133820,0,0,0,1109915,65,机器人,农民,65650,73650,131300,0,0,0,是,79,192.168.102.45:2412,192.168.102.45:2409,192.168.102.45:2409,1748241491
2025-05-26 14:40:11,188,93,48,24000,1500,1,70000,0,1109949,65,机器人,地主,134580,238975,365555,0,0,0,1110055,65,机器人,农民,-62580,70580,0,0,1,1,1110201,65,机器人,农民,-72000,199300,119300,0,0,0,是,82,192.168.102.45:2409,192.168.102.45:2412,192.168.102.45:2409,1748241516
2025-05-26 14:40:29,188,77,48,24000,1500,1,70000,0,1109861,65,机器人,地主,87804,95805,175609,0,1,1,1110141,65,机器人,农民,-43902,410300,358398,0,0,0,1110220,65,机器人,农民,-43902,73720,21818,0,0,0,是,65,192.168.102.45:2409,192.168.102.45:2412,192.168.102.45:2409,1748241551
2025-05-26 14:40:32,188,57,48,24000,1500,1,70000,0,1109992,65,机器人,地主,66830,74830,133660,0,0,0,1109743,65,机器人,农民,-33415,197580,156165,0,0,0,1109797,65,机器人,农民,-33415,152865,111450,0,0,0,是,47,192.168.102.45:2409,192.168.102.45:2412,192.168.102.45:2409,1748241574
2025-05-26 14:40:53,188,47,12,24000,1500,1,70000,0,1110124,65,机器人,地主,62200,70200,124400,0,1,1,1109785,65,机器人,农民,-31100,133820,94720,0,0,0,1109915,65,机器人,农民,-31100,131300,92200,0,0,0,是,36,192.168.102.45:2412,192.168.102.45:2409,192.168.102.45:2409,1748241606
